ts,asset,funding_hourly_pct,funding_apy_pct,oi_usd,side,breakeven_days,net_apy_30d_pct,actionable
2026-06-25T06:15:46.889706+00:00,SPX,0.00125,10.95,2592267,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,MORPHO,0.00125,10.95,3770692,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,TRUMP,-0.00329,-28.84,10368585,long_perp+spot_short,2.53,26.41,1
2026-06-25T06:15:46.889706+00:00,VVV,-0.03133,-274.45,20787505,long_perp+spot_short,0.27,272.02,1
2026-06-25T06:15:46.889706+00:00,BERA,0.00125,10.95,1366042,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,LAYER,-0.02355,-206.28,1078720,long_perp+spot_short,0.35,203.84,1
2026-06-25T06:15:46.889706+00:00,IP,0.00125,10.95,3340851,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,KAITO,-0.00483,-42.32,1149425,long_perp+spot_short,1.73,39.88,1
2026-06-25T06:15:46.889706+00:00,PAXG,-0.00067,-5.88,21686990,long_perp+spot_short,12.41,3.45,0
2026-06-25T06:15:46.889706+00:00,SYRUP,0.00125,10.95,1864252,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,PUMP,0.00125,10.95,24736576,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,XPL,0.00125,10.95,32226156,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,WLFI,0.00125,10.95,10970345,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,LINEA,0.00125,10.95,1463917,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,SKY,-0.00139,-12.22,1638554,long_perp+spot_short,5.98,9.78,0
2026-06-25T06:15:46.889706+00:00,ASTER,0.00125,10.95,24427366,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,STBL,0.00125,10.95,2194311,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,HEMI,0.00125,10.95,1264771,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,APEX,0.00125,10.95,1358201,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,ZEC,0.00125,10.95,175475384,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,MON,0.00125,10.95,24134218,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,MET,0.00125,10.95,2719954,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,MEGA,0.00125,10.95,6122354,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,CC,-0.0056,-49.07,4929286,long_perp+spot_short,1.49,46.63,1
2026-06-25T06:15:46.889706+00:00,ICP,0.00125,10.95,1764214,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,AERO,0.00125,10.95,12731857,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,STABLE,-0.00102,-8.95,2033492,long_perp+spot_short,8.15,6.52,0
2026-06-25T06:15:46.889706+00:00,LIT,0.00183,15.99,66476721,short_perp+spot_long,4.57,13.56,1
2026-06-25T06:15:46.889706+00:00,XMR,0.00125,10.95,44452501,short_perp+spot_long,6.67,8.52,0
2026-06-25T06:15:46.889706+00:00,CHIP,-0.02251,-197.2,3128233,long_perp+spot_short,0.37,194.76,1
2026-06-25T06:30:37.635051+00:00,BTC,0.00031,2.74,2031208880,short_perp+spot_long,26.64,0.31,0
2026-06-25T06:30:37.635051+00:00,ETH,0.0001,0.9,1116773337,short_perp+spot_long,81.48,-1.54,0
